country,T_oa_min,T_oa_mean,T_oa_max,RH_min,RH_mean,RH_max,P_oa
USA,9.36,13.72,18.46,48.11,67.98,85.58,101.44
China,9.84,14.41,19.12,32.77,49.26,66.7,101.06
Japan,13.12,16.9,21.19,49.09,68.47,86.21,100.89
France,8.85,12.85,17.01,56.15,74.58,90.42,101.27
India,20.25,25.25,30.7,40.23,60.62,79.69,98.4
Singapore,23.58,26.77,31.15,62.24,84.0,98.35,100.43
Canada,2.24,6.71,11.33,54.58,72.58,87.79,100.56
Germany,6.83,10.65,14.63,57.42,74.84,89.76,101.23
UK,8.91,12.41,16.01,56.62,73.6,88.51,101.39
Australia,8.01,13.25,19.57,43.05,70.5,91.94,95.06
Italy,12.7,17.34,22.5,49.84,71.22,88.6,100.92
Korea,8.88,12.73,17.37,48.03,70.63,88.64,101.2
South Africa,12.82,17.8,23.53,40.13,62.5,82.86,86.93
Ireland,8.69,11.38,14.02,66.49,79.49,90.12,101.22
UAE,25.1,28.74,33.71,33.59,58.55,80.08,100.77
Brazil,17.69,22.02,27.04,42.62,62.32,79.91,89.74
Israel,13.82,18.51,24.44,34.34,57.93,81.6,92.65
Netherlands,8.06,11.27,14.71,63.32,80.13,93.77,101.56
Spain,11.1,16.19,21.4,40.01,59.25,77.26,94.09
Sweden,5.35,8.33,11.45,63.55,78.91,91.4,100.99
Belgium,8.36,12.0,15.72,56.72,74.16,89.33,101.36
Norway,4.38,7.73,11.3,60.33,77.58,92.54,101.0
Poland,6.19,10.14,14.15,56.35,74.55,90.76,100.31
Switzerland,5.53,9.68,14.28,59.82,78.87,93.21,95.28
